accession_id,assembly,level,biosample,strain,taxonomy,taxid,coverage,platform,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count
GCA_003465635.1,Scaffold,QSBF00000000,SAMN09734186,AF05-2,Bifidobacterium longum,216816,100x,Illumina Hiseq,2426911,9,0,0,21,388470,3,163402,84336,30,372365,3,101,0,21,21
GCA_003465745.1,Scaffold,QSBN00000000,SAMN09734175,AF04-13,Bifidobacterium longum,216816,100x,Illumina Hiseq,2376016,6,0,0,16,266588,4,209375,130020,22,256464,4,60,0,16,16
GCA_003465665.1,Scaffold,QSBG00000000,SAMN09734185,AF05-16,Bifidobacterium longum,216816,100x,Illumina Hiseq,2425745,6,0,0,23,387128,3,163656,84354,29,372342,3,69,0,23,23
GCA_003465785.1,Scaffold,QSBQ00000000,SAMN09734172,AF03-27,Bifidobacterium longum,216816,100x,Illumina Hiseq,2446110,10,0,0,20,311969,3,196184,97629,30,203979,4,100,0,20,20
GCA_003466505.1,Scaffold,QSPR00000000,SAMN09736978,TM05-14,Bifidobacterium longum,216816,100x,Illumina Hiseq,2506808,12,0,0,19,353696,3,182151,109354,31,346179,3,244,0,19,19
GCA_003466545.1,Scaffold,QSPU00000000,SAMN09736975,TM04-48B,Bifidobacterium longum,216816,100x,Illumina Hiseq,2373237,9,0,0,25,188280,6,134003,100759,34,157585,6,90,0,25,25
GCA_003466425.1,Scaffold,QSPJ00000000,SAMN09736986,TM06-1,Bifidobacterium longum,216816,100x,Illumina Hiseq,2404043,6,0,0,14,513808,2,285354,214095,20,234600,4,396,0,14,14
GCA_003468005.1,Scaffold,QSGC00000000,SAMN09736542,AM42-13AT,Bifidobacterium longum,216816,100x,Illumina Hiseq,2226368,4,0,0,16,302840,3,180529,103030,20,202151,5,112,0,16,16
GCA_003467905.1,Scaffold,QSIE00000000,SAMN09736466,AM34-3,Bifidobacterium longum,216816,100x,Illumina Hiseq,2377486,13,0,0,24,197528,5,127483,57190,37,141264,6,393,0,24,24
GCA_003468265.1,Scaffold,QSGY00000000,SAMN09736509,AM39-10AC,Bifidobacterium longum,216816,100x,Illumina Hiseq,2233711,4,0,0,14,486685,2,222043,200324,18,486685,2,40,0,14,14
GCA_003467395.1,Scaffold,QSGR00000000,SAMN09736517,AM39-8AC,Bifidobacterium longum,216816,100x,Illumina Hiseq,2345691,10,0,0,14,1419475,1,483109,90554,24,388797,3,187,0,14,14
GCA_003468805.1,Scaffold,QSJE00000000,SAMN09736426,AM31-13LB,Bifidobacterium longum,216816,100x,Illumina Hiseq,2434520,9,0,0,14,315543,3,198119,150690,23,267249,4,318,0,14,14
GCA_003468825.1,Scaffold,QSJH00000000,SAMN09736422,AM30-9LB,Bifidobacterium longum,216816,100x,Illumina Hiseq,2297471,2,0,0,28,188361,5,126272,60423,30,141702,5,20,0,28,28
GCA_003463285.1,Scaffold,QSDD00000000,SAMN09736665,OF01-16,Bifidobacterium longum,216816,100x,Illumina Hiseq,2248299,15,0,0,48,99216,8,57370,41018,63,95280,10,264,0,48,48
GCA_003457975.1,Scaffold,QRTM00000000,SAMN09734529,AF27-1BH,Bifidobacterium longum,216816,100x,Illumina Hiseq,2337082,5,0,0,18,305451,3,192020,65271,23,305451,3,50,0,18,18
GCA_003458335.1,Scaffold,QRTY00000000,SAMN09734508,AF26-10,Bifidobacterium longum,216816,100x,Illumina Hiseq,2347460,9,0,0,18,176352,5,154100,113620,27,166709,6,120,0,18,18
GCA_003436505.1,Scaffold,QSPY00000000,SAMN09736971,TM04-17,Bifidobacterium longum,216816,100x,Illumina Hiseq,2414802,10,0,0,51,134171,7,91855,53774,61,122812,7,172,0,51,51
GCA_003436595.1,Scaffold,QSQD00000000,SAMN09736966,TM02-7,Bifidobacterium longum,216816,100x,Illumina Hiseq,2393254,12,0,0,31,176975,5,111851,38969,43,125787,7,295,0,31,31
GCA_003437135.1,Scaffold,QSRQ00000000,SAMN09736906,TF07-31,Bifidobacterium longum,216816,100x,Illumina Hiseq,2443319,5,0,0,22,198669,4,137301,79111,27,190764,5,53,0,22,22
GCA_003437105.1,Scaffold,QSRP00000000,SAMN09736907,TF07-34,Bifidobacterium longum,216816,100x,Illumina Hiseq,2373802,3,0,0,26,335250,3,126621,79101,29,205088,4,30,0,26,26
GCA_003437095.1,Scaffold,QSRO00000000,SAMN09736908,TF07-39,Bifidobacterium longum,216816,100x,Illumina Hiseq,2451819,2,0,0,16,207606,3,180279,137301,18,205546,3,20,0,16,16
GCA_003437715.1,Scaffold,QSRZ00000000,SAMN09736897,TF06-45A,Bifidobacterium longum,216816,100x,Illumina Hiseq,2525616,3,0,0,21,201540,5,152301,68881,24,201540,5,30,0,21,21
GCA_003437695.1,Scaffold,QSRH00000000,SAMN09736919,TF08-4AC,Bifidobacterium longum,216816,100x,Illumina Hiseq,2429596,6,0,0,22,391986,3,94800,51657,28,381699,3,60,0,22,22
GCA_003437455.1,Scaffold,QSQH00000000,SAMN09736962,TM01-1,Bifidobacterium longum,216816,100x,Illumina Hiseq,2350747,13,0,0,19,271391,3,133408,89346,32,184333,5,130,0,19,19
GCA_003437995.1,Scaffold,QSSW00000000,SAMN09736866,TF01-22,Bifidobacterium longum,216816,100x,Illumina Hiseq,2384490,7,0,0,14,408998,2,260044,122749,21,260044,3,205,0,14,14
GCA_003438385.1,Scaffold,QSUI00000000,SAMN09736802,OM05-2BH,Bifidobacterium longum,216816,100x,Illumina Hiseq,2436854,10,0,0,46,200221,4,89035,43100,56,200221,4,100,0,46,46
GCA_003438485.1,Scaffold,QSSF00000000,SAMN09736888,TF06-12AC,Bifidobacterium longum,216816,100x,Illumina Hiseq,2527625,7,0,0,21,232960,4,169254,135061,28,154060,6,78,0,21,21
GCA_003439655.1,Scaffold,QSWD00000000,SAMN09736713,OF05-12,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2369746,5,0,0,13,397003,3,151630,149226,18,361492,3,50,0,13,13
GCA_003438405.1,Scaffold,QSUK00000000,SAMN09736800,OM05-2,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2365404,4,0,0,16,393237,3,210073,90038,20,262376,3,40,0,16,16
GCA_003438015.1,Contig,QSSY00000000,SAMN09736863,OM10-8,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2200949,0,0,0,,,,,,22,260042,3,0,0,22,22
GCA_003437835.1,Scaffold,QSSM00000000,SAMN09736879,TF05-19AC,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2176405,7,0,0,13,654100,2,149517,80895,20,256209,3,70,0,13,13
GCA_003437825.1,Scaffold,QSSK00000000,SAMN09736882,TF05-2AC,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2206288,2,0,0,6,844126,2,844126,397381,8,706200,2,20,0,6,6
GCA_003437435.1,Scaffold,QSPS00000000,SAMN09736977,TM05-11,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2294189,7,0,0,22,203351,4,136750,98767,29,168357,5,70,0,22,22
GCA_003437075.1,Scaffold,QSRN00000000,SAMN09736909,TF07-45,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2383735,11,0,0,17,232905,3,163044,96323,28,232325,4,274,0,17,17
GCA_003437155.1,Scaffold,QSRR00000000,SAMN09736905,TF07-23,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2338335,8,0,0,19,352302,3,167614,103007,27,352302,3,91,0,19,19
GCA_003436315.1,Scaffold,QSOT00000000,SAMN09737005,TM07-3AT,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2242522,6,0,0,10,488460,2,258322,172972,16,268067,2,188,0,10,10
GCA_003436545.1,Scaffold,QSQA00000000,SAMN09736969,TM04-13,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2264568,11,0,0,15,200743,4,166591,98995,26,180757,5,302,0,15,15
GCA_003436675.1,Scaffold,QSQG00000000,SAMN09736963,TM01-4,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2189735,1,0,0,24,220058,4,110565,74228,25,220058,4,184,0,24,24
GCA_003436955.1,Scaffold,QSRI00000000,SAMN09736917,TF08-3AT,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2261675,3,0,0,14,545503,2,152039,80473,17,545503,2,30,0,14,14
GCA_003436105.1,Contig,QSOQ00000000,SAMN09737009,TM08-2,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2330189,0,0,0,,,,,,24,295179,4,0,0,24,24
GCA_003436025.1,Scaffold,QSOG00000000,SAMN09737021,TM10-1,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2225345,1,0,0,11,670542,2,205196,147480,12,670542,2,10,0,11,11
GCA_003459475.1,Scaffold,QRWB00000000,SAMN09734414,AF20-20AC,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2249138,1,0,0,11,665756,2,207448,94258,12,665756,2,10,0,11,11
GCA_003458965.1,Scaffold,QRTZ00000000,SAMN09734507,AF26-1,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2183304,5,0,0,11,527892,2,180383,106883,16,527892,2,50,0,11,11
GCA_003459865.1,Contig,QRXC00000000,SAMN09734359,AF18-2AC,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2370259,0,0,0,,,,,,31,180022,4,0,0,31,31
GCA_003460425.1,Scaffold,QRXU00000000,SAMN09734331,AF17-20AC,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2238891,5,0,0,16,666220,2,193732,112931,21,666220,2,50,0,16,16
GCA_003463425.1,Scaffold,QSCX00000000,SAMN09736676,OF01-8,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2287849,3,0,0,18,553867,2,174660,94036,21,553867,2,161,0,18,18
GCA_003463615.1,Contig,QSDK00000000,SAMN09736656,CF01-1,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2378235,0,0,0,,,,,,57,153733,5,0,0,57,57
GCA_003463265.1,Contig,QSCZ00000000,SAMN09736671,OF01-21AC,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2252765,0,0,0,,,,,,27,151985,5,0,0,27,27
GCA_003463505.1,Scaffold,QSDF00000000,SAMN09736662,OF01-12,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2284655,6,0,0,15,526445,2,174390,94260,21,284058,3,60,0,15,15
GCA_003463455.1,Scaffold,QSDA00000000,SAMN09736669,OF01-2,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2248920,8,0,0,20,207458,3,97449,94282,28,151398,4,80,0,20,20
GCA_003470125.1,Scaffold,QSLD00000000,SAMN09736330,AM26-14LB,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2218563,2,0,0,13,667772,2,206886,163105,15,667772,2,22,0,13,13
GCA_003467065.1,Scaffold,QSFQ00000000,SAMN09736560,AM43-10,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2198965,3,0,0,7,1228168,1,651961,131630,10,651961,2,30,0,7,7
GCA_003467515.1,Scaffold,QSHB00000000,SAMN09736506,AM38-8,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2309250,3,0,0,12,462823,2,216437,109418,15,462823,2,49,0,12,12
GCA_003468555.1,Scaffold,QSIM00000000,SAMN09736456,AM33-6,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2261451,16,0,0,13,539731,2,171516,114664,29,251619,3,455,0,13,13
GCA_003467785.1,Scaffold,QSHV00000000,SAMN09736481,AM36-2AC,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2163183,4,0,0,17,263113,4,118944,68583,21,263113,4,40,0,17,17
GCA_003467755.1,Scaffold,QSHR00000000,SAMN09736486,AM36-5BH,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2163900,11,0,0,18,269042,4,118932,68996,29,173327,5,110,0,18,18
GCA_003465775.1,Scaffold,QSBP00000000,SAMN09734173,AF03-28,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2360283,19,0,0,18,394890,3,212995,112325,37,288942,3,937,0,18,18
GCA_003466105.1,Scaffold,QSBW00000000,SAMN09734165,AF02-36-1,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2185103,2,0,0,16,407144,2,122657,97957,18,229068,3,20,0,16,16
GCA_003465065.1,Scaffold,QSAK00000000,SAMN09734213,AF12-10-6.0,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2202226,6,0,0,16,235946,4,136074,105119,22,173334,5,83,0,16,16
GCA_003465135.1,Scaffold,QSAP00000000,SAMN09734208,AF11-18,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2267953,2,0,0,9,682275,2,205825,190358,11,682275,2,20,0,9,9
GCA_003464925.1,Scaffold,QSAC00000000,SAMN09734227,AF12-8LB-d,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2202985,2,0,0,14,303706,3,235911,105095,16,303706,3,20,0,14,14
GCA_003465385.1,Scaffold,QSAD00000000,SAMN09734226,AF12-8A-LB,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2203776,7,0,0,16,235923,4,137846,105108,23,186610,5,70,0,16,16
GCA_003472415.1,Scaffold,QRLX00000000,SAMN09734778,AM11-10,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2336191,4,0,0,18,550354,2,132405,88351,22,550354,2,42,0,18,18
GCA_003472575.1,Scaffold,QRMF00000000,SAMN09734766,AM10-2,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2142870,1,0,0,13,530491,2,144900,101698,14,530491,2,10,0,13,13
GCA_003472545.1,Scaffold,QRMD00000000,SAMN09734769,AM10-24,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2142379,2,0,0,16,312584,3,141123,102030,18,287388,3,132,0,16,16
GCA_003472685.1,Scaffold,QRMQ00000000,SAMN09734749,AM08-25,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2339457,11,0,0,21,200265,4,142420,103434,32,178197,5,284,0,21,21
GCA_003472725.1,Scaffold,QRMR00000000,SAMN09734748,AM08-2,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2327048,8,0,0,24,180410,5,144026,89445,32,170241,5,186,0,24,24
GCA_003473115.1,Scaffold,QRLG00000000,SAMN09734796,AM13-2,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2214411,4,0,0,14,528217,2,198346,145761,18,331287,3,246,0,14,14
GCA_003473025.1,Scaffold,QRLC00000000,SAMN09734801,AM13-8,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2216375,11,0,0,16,332021,3,166769,125640,27,254487,4,336,0,16,16
GCA_003471295.1,Scaffold,QRIU00000000,SAMN09734886,AM20-9-6.0,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2159427,3,0,0,18,292255,3,156214,113794,21,292255,3,31,0,18,18
GCA_003471415.1,Scaffold,QRJB00000000,SAMN09734879,AM20-1,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2237967,9,0,0,13,637259,2,178016,107816,22,572201,2,283,0,13,13
GCA_003471325.1,Scaffold,QRIV00000000,SAMN09734885,AM20-6,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2230637,7,0,0,13,640863,2,177718,85807,20,206223,3,70,0,13,13
GCA_003471505.1,Scaffold,QRJG00000000,SAMN09734871,AM18-42,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2225059,9,0,0,9,1255145,1,528833,118689,18,527425,2,419,0,9,9
GCA_003470545.1,Contig,QRJC00000000,SAMN09734878,AM19-19,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2181984,0,0,0,,,,,,26,210479,4,0,0,26,26
GCA_003474835.1,Scaffold,QRPH00000000,SAMN09734638,AF36-12AT,Bifidobacterium pseudocatenulatum,28026,100x,Illumina Hiseq,2359221,6,0,0,18,330444,3,206077,90102,24,173953,4,178,0,18,18
GCA_003474015.1,Contig,QRNL00000000,SAMN09734713,AF45-10BH,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2278709,0,0,0,,,,,,22,392361,3,0,0,22,22
GCA_003474525.1,Contig,QRNZ00000000,SAMN09734692,AF41-3MH,Bifidobacterium pseudocatenulatum,28026,100x,IonProton,2260224,0,0,0,,,,,,22,227758,4,0,0,22,22
GCA_003464845.1,Scaffold,QRZV00000000,SAMN09734239,AF13-3LB,Bifidobacterium pseudolongum,1694,100x,Illumina Hiseq,2215443,2,0,0,15,664915,2,133675,91296,17,664915,2,20,0,15,15
GCA_003474705.1,Scaffold,QROS00000000,SAMN09734668,AF37-6AC,Blautia obeum,40520,100x,Illumina Hiseq,3665182,17,0,0,41,248422,5,124730,57872,58,219331,6,375,0,41,41
GCA_003474255.1,Scaffold,QROE00000000,SAMN09734687,AF39-4,Blautia obeum,40520,100x,Illumina Hiseq,3683553,10,0,0,26,441503,3,312838,83586,36,441503,3,246,0,26,26
GCA_003475275.1,Scaffold,QRPQ00000000,SAMN09734621,AF35-14AC,Blautia obeum,40520,100x,Illumina Hiseq,3744356,13,0,0,37,269418,5,158288,70288,50,244638,5,130,0,37,37
GCA_003470555.1,Scaffold,QRJH00000000,SAMN09734869,AM18-2AC,Blautia obeum,40520,100x,Illumina Hiseq,3755427,11,0,0,29,344161,4,214908,104192,40,344161,4,317,0,29,29
GCA_003471125.1,Scaffold,QRHZ00000000,SAMN09734919,AM22-9LB,Blautia obeum,40520,100x,Illumina Hiseq,3799255,15,0,0,47,351195,4,114147,54259,62,274777,4,182,0,47,47
GCA_003438845.1,Scaffold,QSUB00000000,SAMN09736815,OM06-11AA,Blautia obeum,40520,100x,Illumina Hiseq,3808238,14,0,0,35,317730,3,275618,79917,49,317730,3,140,0,35,35
GCA_003439215.1,Contig,QSUZ00000000,SAMN09736772,OM03-6,Blautia obeum,40520,100x,IonProton,3526994,0,0,0,,,,,,102,111314,9,0,0,102,102
GCA_003436075.1,Scaffold,QSOL00000000,SAMN09737015,TM09-13AC,Blautia obeum,40520,100x,Illumina Hiseq,3875562,16,0,0,55,224284,5,90692,67693,71,224284,5,262,0,55,55
GCA_003437665.1,Scaffold,QSRF00000000,SAMN09736921,TF09-10AC,Blautia obeum,40520,100x,Illumina Hiseq,3620882,13,0,0,49,144386,8,118293,46531,62,144386,8,478,0,49,49
GCA_003465235.1,Scaffold,QRYY00000000,SAMN09734268,AF14-52,Blautia obeum,40520,100x,Illumina Hiseq,3879097,23,0,0,45,231225,6,144372,53964,68,206133,7,355,0,45,45
GCA_003464645.1,Scaffold,QRZI00000000,SAMN09734254,AF14-23,Blautia obeum,40520,100x,Illumina Hiseq,3911172,24,0,0,46,272473,5,147544,55136,70,165784,7,478,0,46,46
GCA_003464105.1,Scaffold,QSDS00000000,SAMN09736642,AM54-7NE,Blautia obeum,40520,100x,IonProton,3990267,1,0,0,78,177399,7,94161,39867,79,177399,7,597,0,78,78
GCA_003466965.1,Scaffold,QSFL00000000,SAMN09736568,AM43-41,Blautia obeum,40520,100x,Illumina Hiseq,3690080,19,0,0,45,219794,6,142690,55969,64,190522,6,190,0,45,45
GCA_003467455.1,Scaffold,QSGT00000000,SAMN09736514,AM39-5AC,Blautia obeum,40520,100x,Illumina Hiseq,3464404,15,0,0,56,161229,7,74829,43919,71,118186,9,362,0,56,56
GCA_003467675.1,Scaffold,QSHL00000000,SAMN09736493,AM37-4AC,Blautia obeum,40520,100x,Illumina Hiseq,3405233,6,0,0,22,296320,4,144792,77788,28,205119,5,60,0,22,22
GCA_003467325.1,Scaffold,QSGG00000000,SAMN09736534,AM41-5,Blautia obeum,40520,100x,Illumina Hiseq,3298430,4,0,0,31,267875,5,152525,64124,35,266320,5,40,0,31,31
GCA_003469945.1,Scaffold,QSKO00000000,SAMN09736357,AM27-32LB,Blautia obeum,40520,100x,IonProton,3834454,1,0,0,118,115622,11,51228,22612,119,115622,11,286,0,118,118
GCA_003469845.1,Scaffold,QSKF00000000,SAMN09736374,AM28-23,Blautia obeum,40520,100x,Illumina Hiseq,3617583,44,0,0,47,247719,6,140570,46738,91,174361,7,633,0,47,47
GCA_003468725.1,Scaffold,QSIZ00000000,SAMN09736433,AM32-10AC,Blautia obeum,40520,100x,Illumina Hiseq,3543244,37,0,0,61,149725,6,123277,41862,98,136806,8,432,0,61,61
GCA_003469155.1,Scaffold,QSIJ00000000,SAMN09736461,AM34-12,Blautia obeum,40520,100x,Illumina Hiseq,3251930,20,0,0,27,201002,5,142226,72441,47,181536,6,547,0,27,27
GCA_003468995.1,Scaffold,QSJW00000000,SAMN09736401,AM29-25AC,Blautia obeum,40520,100x,Illumina Hiseq,3889284,8,0,0,27,327751,5,156128,98131,35,320905,5,80,0,27,27
GCA_003463085.1,Scaffold,QSCN00000000,SAMN09736690,OF03-14,Blautia obeum,40520,100x,IonProton,3593000,1,0,0,92,104390,9,54836,29131,93,104390,9,445,0,92,92
GCA_003459025.1,Scaffold,QRUH00000000,SAMN09734493,AF25-21,Blautia obeum,40520,100x,Illumina Hiseq,4021466,23,0,0,56,182898,6,140792,46130,79,166451,8,230,0,56,56
GCA_003459375.1,Contig,QRVV00000000,SAMN09734424,AF21-24,Blautia obeum,40520,100x,IonProton,3471779,0,0,0,,,,,,181,66006,17,0,0,181,181
GCA_003458635.1,Scaffold,QRVB00000000,SAMN09734457,AF24-10LB,Blautia obeum,40520,100x,Illumina Hiseq,3488656,9,0,0,41,250905,4,175613,59888,50,250905,4,220,0,41,41
GCA_003457595.1,Scaffold,QRSS00000000,SAMN09734559,AF29-2BH,Blautia obeum,40520,100x,Illumina Hiseq,3533904,17,0,0,53,147908,8,73397,34729,70,123354,9,170,0,53,53
GCA_003479705.1,Scaffold,QUHN00000000,SAMN09734231,AF13-16,Blautia sp. AF13-16,2292195,100x,Illumina Hiseq,5991778,28,0,0,67,233931,8,112997,46185,95,182024,9,391,0,67,67
GCA_003479665.1,Scaffold,QUHK00000000,SAMN09734260,AF14-40,Blautia sp. AF14-40,2292958,100x,Illumina Hiseq,3904804,49,0,0,130,134113,9,66551,18300,179,101432,10,1056,0,130,130
GCA_003479185.1,Scaffold,QUGU00000000,SAMN09734347,AF17-9LB,Blautia sp. AF17-9LB,2292959,100x,Illumina Hiseq,4076914,12,0,0,53,222627,7,98023,75830,65,196592,7,225,0,53,53
GCA_003479155.1,Scaffold,QUGQ00000000,SAMN09734373,AF19-1,Blautia sp. AF19-1,2292960,100x,Illumina Hiseq,3558929,20,0,0,63,138973,9,88655,44046,83,118477,11,221,0,63,63
GCA_003461245.1,Scaffold,QTWS00000000,SAMN09734375,AF19-10LB,Blautia sp. AF19-10LB,2292961,100x,Illumina Hiseq,4042273,37,0,0,107,88733,14,56911,19587,144,85278,14,370,0,107,107
GCA_003479105.1,Scaffold,QUGO00000000,SAMN09734379,AF19-13LB,Blautia sp. AF19-13LB,2292962,100x,Illumina Hiseq,4009812,35,0,0,84,223422,7,104745,39753,119,143841,9,426,0,84,84
GCA_003479025.1,Scaffold,QUGJ00000000,SAMN09734396,AF19-34,Blautia sp. AF19-34,2292963,100x,Illumina Hiseq,3932435,57,0,0,54,173265,7,104790,61512,111,116224,9,919,0,54,54
GCA_003478705.1,Scaffold,QUFX00000000,SAMN09734445,AF22-5LB,Blautia sp. AF22-5LB,2292964,100x,Illumina Hiseq,3511697,14,0,0,53,240186,5,126863,53833,67,230145,5,251,0,53,53
GCA_003478565.1,Scaffold,QUFQ00000000,SAMN09734481,AF25-12LB,Blautia sp. AF25-12LB,2292965,100x,IonProton,3794714,3,0,0,149,71955,15,38735,18987,152,71955,15,1247,0,149,149
GCA_003460955.1,Scaffold,QTWD00000000,SAMN09734510,AF26-2,Blautia sp. AF26-2,2292966,100x,Illumina Hiseq,3822398,22,0,0,30,256216,6,164215,104580,52,251070,6,381,0,30,30
GCA_003460565.1,Scaffold,QTVL00000000,SAMN09734591,AF32-4BH,Blautia sp. AF32-4BH,2292967,100x,Illumina Hiseq,3839213,20,0,0,52,238490,6,104210,70443,72,217630,7,280,0,52,52
GCA_003477865.1,Contig,QUED00000000,SAMN09734607,AF34-10,Blautia sp. AF34-10,2292968,100x,IonProton,3555463,0,0,0,,,,,,104,116809,11,0,0,104,104
GCA_003435775.1,Scaffold,QTUS00000000,SAMN09734824,AM16-16B,Blautia sp. AM16-16B,2292969,100x,Illumina Hiseq,3641574,35,0,0,74,141321,10,77186,32894,109,108807,12,350,0,74,74
GCA_003473685.1,Scaffold,QUCK00000000,SAMN09734913,AM22-22LB,Blautia sp. AM22-22LB,2292970,100x,Illumina Hiseq,3727877,24,0,0,83,114727,10,78211,33231,107,113007,10,240,0,83,83
GCA_003435675.1,Scaffold,QTUL00000000,SAMN09736276,AM23-13AC,Blautia sp. AM23-13AC,2292971,100x,Illumina Hiseq,3443045,5,0,0,44,214063,5,111034,69808,49,214063,5,93,0,44,44
GCA_003480695.1,Scaffold,QUJP00000000,SAMN09736365,AM28-10,Blautia sp. AM28-10,2292972,100x,Illumina Hiseq,3784784,17,0,0,47,252530,4,76189,50402,64,205396,5,170,0,47,47
GCA_003480905.1,Scaffold,QUJK00000000,SAMN09736377,AM28-27,Blautia sp. AM28-27,2292973,100x,Illumina Hiseq,3808541,11,0,0,48,250580,4,85199,50390,59,184049,5,290,0,48,48
GCA_003462165.1,Scaffold,QTYM00000000,SAMN09736380,AM28-36,Blautia sp. AM28-36,2292974,100x,Illumina Hiseq,3801735,15,0,0,46,182940,5,98253,55295,61,182940,5,154,0,46,46
GCA_003480555.1,Scaffold,QUJD00000000,SAMN09736403,AM29-29,Blautia sp. AM29-29,2292975,100x,Illumina Hiseq,3523408,23,0,0,52,169268,8,95535,43835,75,167662,9,231,0,52,52
GCA_003480245.1,Scaffold,QUIM00000000,SAMN09736549,AM42-2,Blautia sp. AM42-2,2292976,100x,Illumina Hiseq,3374269,20,0,0,45,205170,5,124741,78230,65,203310,6,236,0,45,45
GCA_003480005.1,Contig,QUIA00000000,SAMN09736595,AM46-3MH,Blautia sp. AM46-3MH,2292977,100x,IonProton,3671391,0,0,0,,,,,,118,87719,15,0,0,118,118
GCA_003479885.1,Scaffold,QUHZ00000000,SAMN09736596,AM46-5,Blautia sp. AM46-5,2292978,100x,IonProton,3766806,1,0,0,124,67360,18,39833,25444,125,67360,18,465,0,124,124
GCA_003479865.1,Contig,QUHY00000000,SAMN09736599,AM47-4,Blautia sp. AM47-4,2292979,100x,IonProton,3843555,0,0,0,,,,,,118,108562,11,0,0,118,118
GCA_003478165.1,Scaffold,QUER00000000,SAMN09736674,OF01-4LB,Blautia sp. OF01-4LB,2292286,100x,Illumina Hiseq,6349015,20,0,0,68,236815,8,136500,65898,88,195051,9,434,0,68,68
GCA_003460685.1,Contig,QTVR00000000,SAMN09736689,OF03-13,Blautia sp. OF03-13,2292980,100x,IonProton,3545221,0,0,0,,,,,,70,174833,8,0,0,70,70
GCA_003463065.1,Scaffold,QSCM00000000,SAMN09736691,OF03-15BH,Blautia sp. OF03-15BH,2292287,100x,Illumina Hiseq,3728016,15,0,0,47,244632,6,92468,46128,62,216751,6,236,0,47,47
GCA_003482095.1,Contig,QUMG00000000,SAMN09736727,OF09-25XD,Blautia sp. OF09-25XD,2292981,100x,IonProton,3679129,0,0,0,,,,,,59,151260,9,0,0,59,59
